customer_name,customer_id,phone_number,merchant,merchant_category,amount,known_devices,current_device,known_locations,current_location,previous_transaction_time,current_transaction_time,velocity_minutes,isFraud
Liam Foster,C210567433,+44 7700 900274,National Express,Transport,26.87,OnePlus 11,OnePlus 11,Leeds,Lagos,2026-07-17T19:15:11Z,2026-07-17T19:30:11Z,15,True
Jack Wilson,C556201947,+44 7700 900806,Tesco,Grocery,64.58,Google Pixel 8,Huawei P60,Liverpool | Manchester,Manchester,2026-07-18T00:54:11Z,2026-07-18T12:16:11Z,682,True
Sophie Bennett,C339045170,+44 7700 900733,EasyJet,Travel,12.88,iPhone 12,iPhone 12,Edinburgh,Edinburgh,2026-07-17T17:38:11Z,2026-07-17T21:49:11Z,251,False
Sophie Bennett,C339045170,+44 7700 900733,Nando's,Dining,18.52,iPhone 12,Nokia G60,Edinburgh,Edinburgh,2026-07-17T18:34:11Z,2026-07-18T17:40:11Z,1386,True
Noah Patel,C337719205,+44 7700 900388,Currys,Electronics,47.45,Samsung Galaxy S23 | iPad Pro,Samsung Galaxy S23,London,Belfast,2026-07-18T17:34:11Z,2026-07-19T15:37:11Z,1323,True
Emily Clarke,C481900231,+44 7700 900341,Tesco,Grocery,210.94,iPhone 14 | MacBook Air,MacBook Air,London | Manchester,Accra,2026-07-17T22:46:11Z,2026-07-17T23:09:11Z,23,True
Oliver Grant,C665401938,+44 7700 900558,Currys PC World,Online,102.46,Google Pixel 7 | iPad Air,Motorola Edge 40,Birmingham | London,London,2026-07-18T05:23:11Z,2026-07-19T00:12:11Z,1129,True
Sophie Bennett,C339045170,+44 7700 900733,Trainline,Transport,48.55,iPhone 12,iPhone 12,Edinburgh,Edinburgh,2026-07-17T18:48:11Z,2026-07-18T09:25:11Z,877,False
Amelia Hughes,C902144870,+44 7700 900517,Amazon.co.uk,Online,108.89,iPhone 14 Pro,iPhone 14 Pro,Cardiff | Bristol,Bristol,2026-07-18T16:33:11Z,2026-07-19T05:01:11Z,748,False
Emily Clarke,C481900231,+44 7700 900341,La Redoute,Dining,67.91,iPhone 14 | MacBook Air,iPhone 14,London | Manchester,London,2026-07-18T05:58:11Z,2026-07-19T07:50:11Z,1552,False
James Whitmore,C771002884,+44 7700 900112,John Lewis,Retail,27.22,Samsung Galaxy S22,Samsung Galaxy S22,Manchester | Leeds,Manchester,2026-07-17T23:25:11Z,2026-07-18T18:48:11Z,1163,False
Jack Wilson,C556201947,+44 7700 900806,Tesco,Grocery,33.89,Google Pixel 8,Google Pixel 8,Liverpool | Manchester,Manchester,2026-07-17T07:04:11Z,2026-07-18T04:58:11Z,1314,False
Emily Clarke,C481900231,+44 7700 900341,Marks & Spencer,Retail,43.49,iPhone 14 | MacBook Air,iPhone 14,London | Manchester,Manchester,2026-07-17T08:35:11Z,2026-07-18T06:39:11Z,1324,False
Emily Clarke,C481900231,+44 7700 900341,Tesco,Grocery,142.72,iPhone 14 | MacBook Air,iPhone 14,London | Manchester,London,2026-07-17T08:37:11Z,2026-07-18T09:57:11Z,1520,False
Oliver Grant,C665401938,+44 7700 900558,Argos,Online,63.38,Google Pixel 7 | iPad Air,unknown Android device,Birmingham | London,London,2026-07-18T06:59:11Z,2026-07-18T12:50:11Z,351,True
Emily Clarke,C481900231,+44 7700 900341,Tesco,Retail,153.02,iPhone 14 | MacBook Air,MacBook Air,London | Manchester,Bangkok,2026-07-17T20:13:11Z,2026-07-18T04:16:11Z,483,True
Grace Turner,C158823406,+44 7700 900651,Waitrose,Grocery,60.87,iPhone 13,iPhone 13,Glasgow | Edinburgh,Accra,2026-07-17T17:28:11Z,2026-07-17T17:50:11Z,22,True
Charlotte Reid,C904377612,+44 7700 900920,BP,Fuel,70.23,iPhone 15 Pro | MacBook Pro,iPhone 15 Pro,Bristol | London,London,2026-07-18T13:12:11Z,2026-07-19T05:51:11Z,999,False
